id,title,description,category,priority
3551,Issue: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Low
3552,Report: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
3553,"Alert: EV-129 shuts down unexpectedly, suspected battery fault.","EV-129 shuts down unexpectedly, suspected battery fault.",Battery,Medium
3554,Alert: Pune Central Hub is operating near full capacity with no available parking.,Pune Central Hub is operating near full capacity with no available parking.,Hub Operations,Medium
3555,Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,High
3556,Alert: EV-106 requires software update for the onboard diagnostics system.,EV-106 requires software update for the onboard diagnostics system.,Maintenance,Medium
3557,Issue: EV-104 is due for scheduled maintenance and has not been serviced.,EV-104 is due for scheduled maintenance and has not been serviced.,Maintenance,Medium
3558,Issue: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
3559,Report: Charging session for EV-102 keeps disconnecting randomly.,Charging session for EV-102 keeps disconnecting randomly.,Charging,High
3560,Report: EV-126 AC is not working properly.,EV-126 AC is not working properly.,Vehicle,High
3561,Report: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Critical
3562,Alert: EV-114 AC is not working properly.,EV-114 AC is not working properly.,Vehicle,High
3563,Report: Battery health indicator for EV-116 has degraded significantly this month.,Battery health indicator for EV-116 has degraded significantly this month.,Battery,Medium
3564,Alert: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
3565,Alert: EV-124 is due for scheduled maintenance and has not been serviced.,EV-124 is due for scheduled maintenance and has not been serviced.,Maintenance,Medium
3566,Vehicle count mismatch found during the shift-change audit at Pune Central Hub.,Vehicle count mismatch found during the shift-change audit at Pune Central Hub.,Hub Operations,Low
3567,Issue: EV-112 AC is not working properly.,EV-112 AC is not working properly.,Vehicle,Medium
3568,Issue: Security gate at Delhi North Hub is malfunctioning.,Security gate at Delhi North Hub is malfunctioning.,Hub Operations,High
3569,Battery health indicator for EV-110 has degraded significantly this month.,Battery health indicator for EV-110 has degraded significantly this month.,Battery,Medium
3570,Alert: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Medium
3571,Alert: Telematics unit on EV-103 stopped sending data.,Telematics unit on EV-103 stopped sending data.,Technical,Medium
3572,EV-101 is not charging at station 7.,EV-101 is not charging at station 7.,Charging,High
3573,Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,Critical
3574,Alert: Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,High
3575,Report: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Critical
3576,Report: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
3577,Report: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Medium
3578,Report: Maintenance team flagged worn brake pads on EV-101.,Maintenance team flagged worn brake pads on EV-101.,Maintenance,High
3579,Alert: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Medium
3580,Alert: EV-119 battery percentage is not increasing despite being connected at station 4.,EV-119 battery percentage is not increasing despite being connected at station 4.,Charging,Low
3581,EV-108 battery temperature is unusually high during operation.,EV-108 battery temperature is unusually high during operation.,Battery,Medium
3582,Alert: Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Hub Operations,Low
3583,Alert: EV-108 tyre pressure warning light is on.,EV-108 tyre pressure warning light is on.,Vehicle,High
3584,Alert: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Medium
3585,Report: Routine inspection revealed a coolant leak in EV-109.,Routine inspection revealed a coolant leak in EV-109.,Maintenance,High
3586,Issue: Bangalore South Hub reported a power outage affecting charging operations.,Bangalore South Hub reported a power outage affecting charging operations.,Hub Operations,Medium
3587,Alert: EV-113 dashboard display is flickering intermittently.,EV-113 dashboard display is flickering intermittently.,Vehicle,Medium
3588,Alert: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Low
3589,Issue: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Medium
3590,Issue: GPS tracking for EV-127 is showing an incorrect location.,GPS tracking for EV-127 is showing an incorrect location.,Technical,Critical
3591,Vehicle count mismatch found during the shift-change audit at Delhi North Hub.,Vehicle count mismatch found during the shift-change audit at Delhi North Hub.,Hub Operations,High
3592,Issue: Telematics unit on EV-119 stopped sending data.,Telematics unit on EV-119 stopped sending data.,Technical,Medium
3593,Report: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,High
3594,Bangalore South Hub reported a power outage affecting charging operations.,Bangalore South Hub reported a power outage affecting charging operations.,Hub Operations,Critical
3595,EV-120 AC is not working properly.,EV-120 AC is not working properly.,Vehicle,Low
3596,Alert: Charging session for EV-120 keeps disconnecting randomly.,Charging session for EV-120 keeps disconnecting randomly.,Charging,Medium
3597,Report: EV-113 brakes feel soft and need inspection.,EV-113 brakes feel soft and need inspection.,Vehicle,Low
3598,Report: Battery health indicator for EV-106 has degraded significantly this month.,Battery health indicator for EV-106 has degraded significantly this month.,Battery,High
3599,Report: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
3600,Alert: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Low
3601,Report: EV-117 maintenance was delayed due to parts unavailability.,EV-117 maintenance was delayed due to parts unavailability.,Maintenance,Low
3602,Issue: EV-123 brakes feel soft and need inspection.,EV-123 brakes feel soft and need inspection.,Vehicle,Medium
3603,Report: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,Low
3604,Alert: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,High
3605,Alert: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Low
3606,Alert: Ride was cancelled midway without explanation for EV-120.,Ride was cancelled midway without explanation for EV-120.,Ride,Medium
3607,Report: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Low
3608,Issue: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,High
3609,Report: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,High
3610,Issue: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,High
3611,Report: EV-121 broke down during operation near Delhi North Hub.,EV-121 broke down during operation near Delhi North Hub.,Vehicle,Critical
3612,Issue: Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Hub Operations,Critical
3613,Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,High
3614,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Low
3615,Report: Charging cable at station 1 appears damaged and vehicle is not accepting charge.,Charging cable at station 1 appears damaged and vehicle is not accepting charge.,Charging,Critical
3616,Report: Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver,High
3617,Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Medium
3618,Alert: Charging stops after a few minutes for EV-122 at station 6.,Charging stops after a few minutes for EV-122 at station 6.,Charging,High
3619,Report: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,Low
3620,Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Low
3621,Alert: Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver,High
3622,Issue: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Medium
3623,Report: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Medium
3624,Alert: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Critical
3625,Alert: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,High
3626,Alert: Mobile app crashes when trying to book a ride from Mumbai East Hub.,Mobile app crashes when trying to book a ride from Mumbai East Hub.,Technical,Low
3627,Charging stops after a few minutes for EV-112 at station 8.,Charging stops after a few minutes for EV-112 at station 8.,Charging,High
3628,Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Low
3629,Alert: Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Hub Operations,High
3630,Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
3631,Delhi North Hub reported a power outage affecting charging operations.,Delhi North Hub reported a power outage affecting charging operations.,Hub Operations,Medium
3632,Alert: Ride was cancelled midway without explanation for EV-102.,Ride was cancelled midway without explanation for EV-102.,Ride,Low
3633,Alert: GPS tracking for EV-124 is showing an incorrect location.,GPS tracking for EV-124 is showing an incorrect location.,Technical,Low
3634,Report: Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Hub Operations,Medium
3635,Report: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Low
3636,Alert: Charging stops after a few minutes for EV-118 at station 2.,Charging stops after a few minutes for EV-118 at station 2.,Charging,Medium
3637,Issue: Suggestion received to add more charging stations near Mumbai East Hub.,Suggestion received to add more charging stations near Mumbai East Hub.,Other,High
3638,EV-102 requires software update for the onboard diagnostics system.,EV-102 requires software update for the onboard diagnostics system.,Maintenance,Medium
3639,EV-114 is due for scheduled maintenance and has not been serviced.,EV-114 is due for scheduled maintenance and has not been serviced.,Maintenance,High
3640,Alert: Telematics unit on EV-112 stopped sending data.,Telematics unit on EV-112 stopped sending data.,Technical,High
3641,Issue: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,High
3642,Report: EV-114 is due for scheduled maintenance and has not been serviced.,EV-114 is due for scheduled maintenance and has not been serviced.,Maintenance,Critical
3643,Issue: EV-116 broke down during operation near Delhi North Hub.,EV-116 broke down during operation near Delhi North Hub.,Vehicle,High
3644,Alert: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Low
3645,Report: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Low
3646,Report: Backend sync issue causing duplicate ride records at Mumbai East Hub.,Backend sync issue causing duplicate ride records at Mumbai East Hub.,Technical,Medium
3647,Issue: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Medium
3648,EV-127 brakes feel soft and need inspection.,EV-127 brakes feel soft and need inspection.,Vehicle,High
3649,EV-117 broke down during operation near Delhi North Hub.,EV-117 broke down during operation near Delhi North Hub.,Vehicle,High
3650,"Issue: EV-123 shuts down unexpectedly, suspected battery fault.","EV-123 shuts down unexpectedly, suspected battery fault.",Battery,High
3651,Issue: Charging stops after a few minutes for EV-110 at station 7.,Charging stops after a few minutes for EV-110 at station 7.,Charging,High
3652,Issue: EV-104 AC is not working properly.,EV-104 AC is not working properly.,Vehicle,Medium
3653,EV-123 battery temperature is unusually high during operation.,EV-123 battery temperature is unusually high during operation.,Battery,Medium
3654,Telematics unit on EV-119 stopped sending data.,Telematics unit on EV-119 stopped sending data.,Technical,Medium
3655,Bangalore South Hub is operating near full capacity with no available parking.,Bangalore South Hub is operating near full capacity with no available parking.,Hub Operations,High
3656,Alert: EV-109 shows sudden battery drain even when parked.,EV-109 shows sudden battery drain even when parked.,Battery,High
3657,Alert: Battery health indicator for EV-109 has degraded significantly this month.,Battery health indicator for EV-109 has degraded significantly this month.,Battery,High
3658,Report: EV-126 brakes feel soft and need inspection.,EV-126 brakes feel soft and need inspection.,Vehicle,High
3659,Alert: GPS tracking for EV-112 is showing an incorrect location.,GPS tracking for EV-112 is showing an incorrect location.,Technical,Medium
3660,Report: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Medium
3661,Alert: Suggestion received to add more charging stations near Delhi North Hub.,Suggestion received to add more charging stations near Delhi North Hub.,Other,Low
3662,Alert: EV-119 shows sudden battery drain even when parked.,EV-119 shows sudden battery drain even when parked.,Battery,High
3663,Report: Charging stops after a few minutes for EV-123 at station 6.,Charging stops after a few minutes for EV-123 at station 6.,Charging,Critical
3664,Report: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Medium
3665,Report: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Medium
3666,Issue: Driver has not arrived for the assigned shift at Bangalore South Hub.,Driver has not arrived for the assigned shift at Bangalore South Hub.,Driver,High
3667,Issue: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,High
3668,Report: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,High
3669,EV-100 shows charging error code and will not start charging.,EV-100 shows charging error code and will not start charging.,Charging,High
3670,Alert: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,High
3671,Issue: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Low
3672,Issue: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,High
3673,Issue: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,High
3674,Charging cable at station 2 appears damaged and vehicle is not accepting charge.,Charging cable at station 2 appears damaged and vehicle is not accepting charge.,Charging,Critical
3675,Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
3676,Report: Charging cable at station 1 appears damaged and vehicle is not accepting charge.,Charging cable at station 1 appears damaged and vehicle is not accepting charge.,Charging,Medium
3677,Report: Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver,Medium
3678,Report: Charging cable at station 1 appears damaged and vehicle is not accepting charge.,Charging cable at station 1 appears damaged and vehicle is not accepting charge.,Charging,High
3679,Issue: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Low
3680,Issue: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
3681,EV-125 shows sudden battery drain even when parked.,EV-125 shows sudden battery drain even when parked.,Battery,High
3682,Report: EV-110 is not charging at station 2.,EV-110 is not charging at station 2.,Charging,High
3683,Report: EV-127 is not charging at station 7.,EV-127 is not charging at station 7.,Charging,Medium
3684,Issue: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,High
3685,Issue: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Medium
3686,Issue: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Low
3687,Report: Battery percentage dropped unusually fast during the last trip for EV-124.,Battery percentage dropped unusually fast during the last trip for EV-124.,Battery,High
3688,Alert: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
3689,Alert: EV-112 tyre pressure warning light is on.,EV-112 tyre pressure warning light is on.,Vehicle,Critical
3690,Alert: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,High
3691,EV-112 tyre pressure warning light is on.,EV-112 tyre pressure warning light is on.,Vehicle,Medium
3692,Report: Charging stops after a few minutes for EV-108 at station 7.,Charging stops after a few minutes for EV-108 at station 7.,Charging,High
3693,Charging session for EV-125 keeps disconnecting randomly.,Charging session for EV-125 keeps disconnecting randomly.,Charging,High
3694,Alert: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Low
3695,Issue: EV-115 tyre pressure warning light is on.,EV-115 tyre pressure warning light is on.,Vehicle,High
3696,Issue: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Low
3697,Report: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Medium
3698,Alert: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
3699,Alert: Telematics unit on EV-107 stopped sending data.,Telematics unit on EV-107 stopped sending data.,Technical,Low
3700,EV-128 is making unusual noise from the motor.,EV-128 is making unusual noise from the motor.,Vehicle,Low
3701,EV-121 requires software update for the onboard diagnostics system.,EV-121 requires software update for the onboard diagnostics system.,Maintenance,High
3702,Report: EV-128 dashboard display is flickering intermittently.,EV-128 dashboard display is flickering intermittently.,Vehicle,Critical
3703,Routine inspection revealed a coolant leak in EV-129.,Routine inspection revealed a coolant leak in EV-129.,Maintenance,Critical
3704,Report: EV-120 battery temperature is unusually high during operation.,EV-120 battery temperature is unusually high during operation.,Battery,Low
3705,Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Medium
3706,Report: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,High
3707,Alert: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
3708,Report: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Low
3709,Report: Mobile app crashes when trying to book a ride from Pune Central Hub.,Mobile app crashes when trying to book a ride from Pune Central Hub.,Technical,Medium
3710,Issue: GPS tracking for EV-112 is showing an incorrect location.,GPS tracking for EV-112 is showing an incorrect location.,Technical,Medium
3711,Issue: EV-117 shows sudden battery drain even when parked.,EV-117 shows sudden battery drain even when parked.,Battery,Low
3712,Issue: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,High
3713,Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Low
3714,Report: Maintenance team flagged worn brake pads on EV-110.,Maintenance team flagged worn brake pads on EV-110.,Maintenance,Medium
3715,Report: EV-111 requires software update for the onboard diagnostics system.,EV-111 requires software update for the onboard diagnostics system.,Maintenance,Low
3716,Bangalore South Hub is operating near full capacity with no available parking.,Bangalore South Hub is operating near full capacity with no available parking.,Hub Operations,Critical
3717,Pune Central Hub reported a power outage affecting charging operations.,Pune Central Hub reported a power outage affecting charging operations.,Hub Operations,High
3718,EV-118 requires software update for the onboard diagnostics system.,EV-118 requires software update for the onboard diagnostics system.,Maintenance,Medium
3719,Issue: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
3720,Issue: EV-112 is not charging at station 2.,EV-112 is not charging at station 2.,Charging,High
3721,Issue: Battery health indicator for EV-124 has degraded significantly this month.,Battery health indicator for EV-124 has degraded significantly this month.,Battery,Medium
3722,Report: EV-107 battery temperature is unusually high during operation.,EV-107 battery temperature is unusually high during operation.,Battery,Low
3723,Alert: Backend sync issue causing duplicate ride records at Mumbai East Hub.,Backend sync issue causing duplicate ride records at Mumbai East Hub.,Technical,Low
3724,Issue: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Critical
3725,Alert: Battery health indicator for EV-115 has degraded significantly this month.,Battery health indicator for EV-115 has degraded significantly this month.,Battery,Critical
3726,Issue: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Low
3727,Issue: EV-127 is not charging at station 5.,EV-127 is not charging at station 5.,Charging,Medium
3728,EV-117 tyre pressure warning light is on.,EV-117 tyre pressure warning light is on.,Vehicle,Low
3729,Report: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,High
3730,Report: EV-108 battery temperature is unusually high during operation.,EV-108 battery temperature is unusually high during operation.,Battery,Medium
3731,Charging stops after a few minutes for EV-110 at station 4.,Charging stops after a few minutes for EV-110 at station 4.,Charging,High
3732,Mumbai East Hub is operating near full capacity with no available parking.,Mumbai East Hub is operating near full capacity with no available parking.,Hub Operations,Low
3733,Issue: EV-110 is not charging at station 8.,EV-110 is not charging at station 8.,Charging,Medium
3734,Alert: Mobile app crashes when trying to book a ride from Pune Central Hub.,Mobile app crashes when trying to book a ride from Pune Central Hub.,Technical,Medium
3735,Issue: Charging stops after a few minutes for EV-109 at station 8.,Charging stops after a few minutes for EV-109 at station 8.,Charging,High
3736,Alert: Ride was cancelled midway without explanation for EV-103.,Ride was cancelled midway without explanation for EV-103.,Ride,Low
3737,Report: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Medium
3738,Routine inspection revealed a coolant leak in EV-127.,Routine inspection revealed a coolant leak in EV-127.,Maintenance,High
3739,Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Critical
3740,Alert: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Low
3741,Issue: EV-120 AC is not working properly.,EV-120 AC is not working properly.,Vehicle,High
3742,EV-102 battery temperature is unusually high during operation.,EV-102 battery temperature is unusually high during operation.,Battery,High
3743,Alert: Vehicle count mismatch found during the shift-change audit at Delhi North Hub.,Vehicle count mismatch found during the shift-change audit at Delhi North Hub.,Hub Operations,Critical
3744,Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Medium
3745,Issue: Ride was cancelled midway without explanation for EV-100.,Ride was cancelled midway without explanation for EV-100.,Ride,High
3746,Alert: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,High
3747,Issue: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Critical
3748,Bangalore South Hub reported a power outage affecting charging operations.,Bangalore South Hub reported a power outage affecting charging operations.,Hub Operations,Low
3749,Report: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Low
3750,Alert: Mobile app crashes when trying to book a ride from Delhi North Hub.,Mobile app crashes when trying to book a ride from Delhi North Hub.,Technical,High
3751,EV-100 requires software update for the onboard diagnostics system.,EV-100 requires software update for the onboard diagnostics system.,Maintenance,Low
3752,Alert: Charging session for EV-101 keeps disconnecting randomly.,Charging session for EV-101 keeps disconnecting randomly.,Charging,Medium
3753,Alert: EV-100 battery temperature is unusually high during operation.,EV-100 battery temperature is unusually high during operation.,Battery,Medium
3754,Issue: Charging session for EV-116 keeps disconnecting randomly.,Charging session for EV-116 keeps disconnecting randomly.,Charging,Medium
3755,Issue: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Low
3756,Report: GPS tracking for EV-117 is showing an incorrect location.,GPS tracking for EV-117 is showing an incorrect location.,Technical,Medium
3757,Report: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,High
3758,Report: EV-104 AC is not working properly.,EV-104 AC is not working properly.,Vehicle,Critical
3759,Report: Ride was cancelled midway without explanation for EV-117.,Ride was cancelled midway without explanation for EV-117.,Ride,Medium
3760,Issue: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,Critical
3761,Issue: Charging session for EV-124 keeps disconnecting randomly.,Charging session for EV-124 keeps disconnecting randomly.,Charging,Medium
3762,Alert: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Low
3763,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
3764,EV-124 AC is not working properly.,EV-124 AC is not working properly.,Vehicle,Medium
3765,Issue: Ride was cancelled midway without explanation for EV-120.,Ride was cancelled midway without explanation for EV-120.,Ride,Medium
3766,Issue: Vehicle count mismatch found during the shift-change audit at Pune Central Hub.,Vehicle count mismatch found during the shift-change audit at Pune Central Hub.,Hub Operations,Critical
3767,Alert: Battery percentage dropped unusually fast during the last trip for EV-128.,Battery percentage dropped unusually fast during the last trip for EV-128.,Battery,Medium
3768,Issue: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Medium
3769,Alert: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Low
3770,Report: Suggestion received to add more charging stations near Mumbai East Hub.,Suggestion received to add more charging stations near Mumbai East Hub.,Other,High
3771,Issue: Charging cable at station 6 appears damaged and vehicle is not accepting charge.,Charging cable at station 6 appears damaged and vehicle is not accepting charge.,Charging,Low
3772,Suggestion received to add more charging stations near Mumbai East Hub.,Suggestion received to add more charging stations near Mumbai East Hub.,Other,High
3773,Alert: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Medium
3774,Alert: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Medium
3775,Issue: EV-124 battery percentage is not increasing despite being connected at station 5.,EV-124 battery percentage is not increasing despite being connected at station 5.,Charging,Medium
3776,Report: EV-113 maintenance was delayed due to parts unavailability.,EV-113 maintenance was delayed due to parts unavailability.,Maintenance,High
3777,Issue: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,High
3778,Alert: EV-113 requires software update for the onboard diagnostics system.,EV-113 requires software update for the onboard diagnostics system.,Maintenance,High
3779,Report: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,High
3780,Issue: Backend sync issue causing duplicate ride records at Delhi North Hub.,Backend sync issue causing duplicate ride records at Delhi North Hub.,Technical,Medium
3781,Issue: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
3782,Report: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Medium
3783,Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Medium
3784,Report: EV-125 is making unusual noise from the motor.,EV-125 is making unusual noise from the motor.,Vehicle,Medium
3785,Issue: EV-105 is making unusual noise from the motor.,EV-105 is making unusual noise from the motor.,Vehicle,High
3786,Alert: Ride was cancelled midway without explanation for EV-114.,Ride was cancelled midway without explanation for EV-114.,Ride,High
3787,Alert: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,High
3788,Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,High
3789,Vehicle count mismatch found during the shift-change audit at Bangalore South Hub.,Vehicle count mismatch found during the shift-change audit at Bangalore South Hub.,Hub Operations,High
3790,Alert: Charging stops after a few minutes for EV-124 at station 4.,Charging stops after a few minutes for EV-124 at station 4.,Charging,Medium
3791,Alert: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Low
3792,Issue: Suggestion received to add more charging stations near Mumbai East Hub.,Suggestion received to add more charging stations near Mumbai East Hub.,Other,Critical
3793,Issue: EV-113 tyre pressure warning light is on.,EV-113 tyre pressure warning light is on.,Vehicle,Low
3794,Report: GPS tracking for EV-103 is showing an incorrect location.,GPS tracking for EV-103 is showing an incorrect location.,Technical,Low
3795,Report: EV-109 broke down during operation near Delhi North Hub.,EV-109 broke down during operation near Delhi North Hub.,Vehicle,High
3796,EV-121 shows sudden battery drain even when parked.,EV-121 shows sudden battery drain even when parked.,Battery,Medium
3797,Report: Security gate at Delhi North Hub is malfunctioning.,Security gate at Delhi North Hub is malfunctioning.,Hub Operations,High
3798,Issue: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Medium
3799,Issue: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,High
3800,Report: EV-121 is due for scheduled maintenance and has not been serviced.,EV-121 is due for scheduled maintenance and has not been serviced.,Maintenance,Medium
3801,Issue: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Medium
3802,Alert: Pune Central Hub is operating near full capacity with no available parking.,Pune Central Hub is operating near full capacity with no available parking.,Hub Operations,High
3803,EV-112 is due for scheduled maintenance and has not been serviced.,EV-112 is due for scheduled maintenance and has not been serviced.,Maintenance,Medium
3804,Alert: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
